RANK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
106,Jackson Lacombe,N,D,44,ANA,25,CA$0.9,1.7,0,-0.6,-0.7,119,13,,+,78,23.6,12,34,46,144,3,14,0,1,143,73,-4,35,2,0,1,0%,,,,,,,,,,
107,Nick Suzuki,N,C,26,MTL,26,CA$7.9,7.4,0.1,-0.7,-0.1,54.4,-52.6,, ,82,20.8,31,49,80,179,7,25,2,2,65,64,2,25,5,689,665,51%,,,,,,,,,,
108,Rasmus Andersson,N,D,45,CGY,29,CA$4.6,1.6,0,-0.8,-0.2,162.5,54.5,, ,81,24,10,29,39,162,2,11,0,1,184,48,-6,42,1,0,0,0%,,,,,,,,,,
109,Stuart Skinner,N,G,12,EDM,26,CA$2.6,1.9,0,-0.8,-0.3,131.5,22.5,, ,,,,,,,,,,,,,,,,,,,,50,31,14,5,3,"1,293",137,0.904,2.75
110,Will Cuylle,N,"LW,RW",25,NYR,24,CA$3.9,7.4,0.1,-0.8,-0.2,—,N/A,, ,82,16.3,22,23,45,165,4,8,2,3,48,277,2,50,4,9,24,26%,,,,,,,,,,
111,Filip Hronek,N,D,46,VAN,28,CA$7.3,1.5,0,-0.8,-0.1,162.3,51.3,, ,76,23.9,7,36,43,125,1,10,0,0,100,101,2,39,1,0,1,38%,,,,,,,,,,
112,Mattias Ekholm,N,D,47,EDM,35,CA$6.0,1.4,0,-1,-0.2,166.8,54.8,,-,72,21.8,8,24,32,145,1,2,0,1,106,73,9,35,1,0,0,0%,,,,,,,,,,
113,Frederik Andersen,N,G,13,CAR,35,CA$2.8,1.6,0.1,-1,-0.4,155.1,42.1,, ,,,,,,,,,,,,,,,,,,,,30,17,9,3,2,778,81,0.905,2.71
114,Logan Cooley,N,C,27,UTA,21,CA$1.0,7.1,0.1,-1,-1.1,147.7,33.7,,+,80,19.2,30,45,75,193,9,27,0,0,34,67,0,40,5,362,504,42%,,,,,,,,,,
115,Dylan Cozens,N,C,28,OTT,25,CA$7.1,7.1,0.1,-1.1,-0.2,167.2,52.2,,+,82,18.1,22,37,60,213,6,17,1,1,41,164,0,43,4,598,639,48%,,,,,,,,,,
116,Drake Batherson,N,"LW,RW",26,OTT,27,CA$5.0,7.1,0.1,-1.1,-0.2,83.2,-32.8,,+,82,17.9,26,41,67,200,10,26,0,0,32,125,1,32,4,15,20,43%,,,,,,,,,,
117,Joseph Woll,N,G,14,TOR,27,CA$3.7,1.6,0,-1.1,-0.3,146.8,29.8,, ,,,,,,,,,,,,,,,,,,,,38,21,13,4,2,"1,001",103,0.906,2.72
118,Drew Doughty,N,D,48,L.A,36,CA$11.0,1.3,0,-1.1,-0.1,124.8,6.8,, ,78,23.1,10,28,38,115,2,9,0,0,119,81,2,38,1,0,0,0%,,,,,,,,,,
119,Brenden Dillon,N,D,49,N.J,35,CA$4.0,1.2,0,-1.2,-0.3,—,N/A,, ,81,18.6,4,15,19,64,0,0,0,1,113,178,2,65,1,0,0,0%,,,,,,,,,,
120,Zach Hyman,N,"LW,RW",27,EDM,33,CA$5.5,7,0.1,-1.2,-0.2,112.4,-7.6,, ,68,19,33,23,56,207,9,16,0,0,25,60,11,34,5,3,4,44%,,,,,,,,,,
121,Oliver Ekman-Larsson,N,D,50,TOR,34,CA$3.5,1.2,0,-1.2,-0.3,179,58,, ,78,20.5,6,25,32,124,1,7,0,0,87,106,4,48,1,0,0,0%,,,,,,,,,,
122,Ilya Sorokin,N,G,15,NYI,30,CA$8.3,1.4,0,-1.2,-0.1,58.1,-63.9,, ,,,,,,,,,,,,,,,,,,,,55,26,22,7,4,"1,466",146,0.91,2.65
123,Pyotr Kochetkov,N,G,16,CAR,26,CA$2.0,1.4,0,-1.2,-0.6,109.2,-13.8,, ,,,,,,,,,,,,,,,,,,,,45,26,14,5,3,"1,165",124,0.904,2.75
124,Jacob Middleton,N,D,51,MIN,30,CA$4.0,1.1,0,-1.3,-0.3,—,N/A,, ,79,20.7,7,16,23,99,0,0,0,1,164,117,0,55,1,0,0,0%,,,,,,,,,,
125,Erik Karlsson,N,D,52,PIT,35,CA$10.0,1.1,0,-1.3,-0.1,127.1,2.1,,-,82,23.4,13,44,56,186,2,14,0,0,101,40,-5,32,1,0,0,0%,,,,,,,,,,
126,Nazem Kadri,N,C,29,CGY,35,CA$7.0,6.9,0.1,-1.3,-0.2,136.3,10.3,, ,82,19.2,32,38,70,276,9,20,0,0,31,61,-4,46,4,674,744,48%,,,,,,,,,,
127,Travis Sanheim,N,D,53,PHI,29,CA$6.3,1.1,0,-1.3,-0.2,—,N/A,, ,82,24.8,9,27,36,145,0,3,0,2,164,86,-5,46,1,0,0,0%,,,,,,,,,,
128,Niko Mikkola,N,D,54,FLA,29,CA$2.5,1.1,0,-1.3,-0.5,—,N/A,, ,81,20.1,4,14,18,108,0,0,0,0,110,150,5,55,1,0,0,0%,,,,,,,,,,
129,Tyler Myers,N,D,55,VAN,36,CA$3.0,1.1,0,-1.3,-0.4,—,N/A,, ,79,20.7,5,21,26,99,0,1,1,2,141,103,0,65,1,0,0,0%,,,,,,,,,,
130,Dylan Larkin,N,C,30,DET,29,CA$8.7,6.8,0.1,-1.3,-0.2,87.6,-42.4,, ,80,20.1,32,42,74,235,13,26,0,1,36,48,-2,38,4,839,694,55%,,,,,,,,,,
131,Travis Konecny,N,"LW,RW",28,PHI,29,CA$8.8,6.9,0.1,-1.3,-0.2,94.8,-36.2,, ,79,20.8,30,45,76,210,6,15,2,4,41,89,-4,54,4,40,57,41%,,,,,,,,,,
132,Jet Greaves,N,G,17,CBJ,24,CA$0.8,1.3,0,-1.4,-1.7,160.2,28.2,, ,,,,,,,,,,,,,,,,,,,,35,17,14,5,2,949,96,0.908,2.73
133,Erik Cernak,N,D,56,T.B,28,CA$5.2,1,0,-1.4,-0.3,162,29,, ,78,19.6,3,17,20,77,0,0,0,1,116,167,6,51,1,0,0,0%,,,,,,,,,,
134,Pierre-Luc Dubois,N,"C,LW",29,WSH,27,CA$8.5,6.7,0.1,-1.4,-0.2,160.6,26.6,, ,81,18,22,39,61,164,6,13,0,0,55,77,4,65,4,569,578,50%,,,,,,,,,,
135,Jordan Binnington,N,G,18,STL,32,CA$6.0,1.2,0,-1.4,-0.2,98.9,-36.1,, ,,,,,,,,,,,,,,,,,,,,54,27,20,7,4,"1,415",145,0.907,2.68
136,K'andre Miller,N,D,57,CAR,26,CA$7.5,0.9,0,-1.5,-0.2,191.3,55.3,, ,80,22.2,8,24,32,114,0,2,0,1,126,124,3,34,1,0,0,0%,,,,,,,,,,
137,Jacob Markstrom,N,G,19,N.J,35,CA$4.1,1.1,0,-1.5,-0.4,78.6,-58.4,, ,,,,,,,,,,,,,,,,,,,,50,28,17,6,3,"1,307",137,0.905,2.75
138,Ryan Nugent-Hopkins,N,"C,LW",30,EDM,32,CA$5.1,6.6,0.1,-1.5,-0.3,154.7,16.7,, ,81,19.1,23,42,64,180,8,28,1,2,44,45,8,33,4,275,304,47%,,,,,,,,,,
139,Thatcher Demko,N,G,20,VAN,29,CA$7.6,1.1,0,-1.6,-0.2,95.5,-43.5,, ,,,,,,,,,,,,,,,,,,,,50,25,19,6,3,"1,365",138,0.908,2.76
140,Michael Kesselring,N,D,58,BUF,26,CA$1.4,0.8,0,-1.6,-1.1,—,N/A,, ,79,18.5,6,22,28,132,0,2,0,0,83,100,2,62,1,0,0,0%,,,,,,,,,,
141,Luke Schenn,N,D,59,WPG,36,CA$2.8,0.8,0,-1.6,-0.6,186,45,, ,77,15.7,2,11,13,84,0,0,0,0,100,237,3,51,0,0,0,0%,,,,,,,,,,
142,Dylan Demelo,N,D,60,WPG,32,CA$4.9,0.8,0,-1.6,-0.3,181,39,, ,81,21.6,4,23,27,87,0,0,0,1,123,131,6,42,1,0,0,0%,,,,,,,,,,
143,Jacob Trouba,N,D,61,ANA,32,CA$8.0,0.7,0,-1.7,-0.2,—,N/A,, ,79,19.5,3,17,20,121,0,0,0,1,185,157,-6,55,0,0,0,0%,,,,,,,,,,
144,Alex Romanov,N,D,62,NYI,26,CA$6.3,0.7,0,-1.7,-0.3,—,N/A,, ,78,22.6,6,21,26,123,0,0,0,1,180,156,-2,33,1,0,0,0%,,,,,,,,,,
145,Brady Skjei,N,D,63,NSH,32,CA$7.0,0.7,0,-1.7,-0.2,—,N/A,, ,82,22.8,13,28,42,174,2,11,0,1,105,64,-7,44,2,0,0,0%,,,,,,,,,,
146,Brad Marchand,N,LW,31,FLA,37,CA$5.3,6.4,0.1,-1.8,-0.3,147.5,1.5,, ,79,16.2,24,32,56,193,5,15,1,1,37,94,4,56,4,10,15,40%,,,,,,,,,,
147,Josh Manson,N,D,64,COL,34,CA$4.1,0.5,0,-1.9,-0.5,—,N/A,, ,70,18.2,5,17,22,100,0,0,0,1,95,143,4,54,1,0,0,0%,,,,,,,,,,
148,Logan Thompson,N,G,21,WSH,28,CA$5.9,0.7,0,-2,-0.3,73.3,-74.7,,-,,,,,,,,,,,,,,,,,,,,48,24,18,6,3,"1,274",132,0.906,2.75
149,Kaiden Guhle,N,D,65,MTL,24,CA$5.5,0.4,0,-2,-0.4,—,N/A,, ,72,20.9,7,18,24,94,0,0,0,1,154,121,-1,51,1,0,0,0%,,,,,,,,,,
150,Luke Hughes,N,D,66,N.J,22,CA$0.0,0.3,0,-2.1,N/A,109.9,-40.1,,+,79,21.2,9,38,47,138,1,16,0,0,78,34,3,27,1,0,1,0%,,,,,,,,,,
151,Tomas Hertl,N,"C,LW",32,VGK,32,CA$6.8,6.1,0.1,-2.1,-0.3,115.8,-35.2,, ,76,17.3,27,31,58,176,11,22,0,0,54,93,5,26,5,604,471,56%,,,,,,,,,,
152,Braden Schneider,N,D,67,NYR,24,CA$2.2,0.2,0,-2.1,-1,—,N/A,, ,82,19.1,7,20,27,110,1,6,1,2,143,146,1,24,1,0,0,0%,,,,,,,,,,
153,Logan Mailloux,N,D,68,STL,22,CA$0.9,0.2,0,-2.2,-2.5,—,N/A,,+ +,65,20,5,13,18,102,0,1,0,0,84,135,1,66,1,0,0,0%,,,,,,,,,,
154,Mathew Barzal,N,"C,RW",32,NYI,28,CA$9.2,5.5,0.1,-2.2,-0.2,147.8,-6.2,,+,74,20.7,23,49,72,215,5,20,0,0,52,56,2,29,3,73,105,41%,,,,,,,,,,
155,Joey Daccord,N,G,22,SEA,29,CA$5.0,0.4,0,-2.2,-0.4,132.6,-22.4,, ,,,,,,,,,,,,,,,,,,,,54,24,23,8,3,"1,498",149,0.909,2.76
156,Quinton Byfield,N,"C,LW",33,L.A,23,CA$6.3,6,0.1,-2.2,-0.4,145.7,-10.3,,+,79,19.9,25,39,64,182,6,14,1,1,33,78,5,46,4,359,437,45%,,,,,,,,,,
157,Brock Faber,N,D,69,MIN,23,CA$8.5,0.2,0,-2.2,-0.3,153.6,-3.4,,-,81,25.3,9,27,36,132,2,10,0,1,132,51,0,31,1,0,0,0%,,,,,,,,,,
158,Leevi Merilainen,N,G,23,OTT,23,CA$1.1,0.4,0,-2.3,-2.1,—,N/A,, ,,,,,,,,,,,,,,,,,,,,28,14,10,3,2,737,78,0.904,2.79
159,Esa Lindell,N,D,70,DAL,31,CA$5.3,0.1,0,-2.3,-0.4,—,N/A,, ,82,23,7,23,29,118,0,0,0,1,174,68,7,19,1,0,0,0%,,,,,,,,,,
160,Dustin Wolf,N,G,24,CGY,24,CA$0.9,0.3,0,-2.3,-2.7,64.8,-95.2,, ,,,,,,,,,,,,,,,,,,,,57,25,24,8,4,"1,537",155,0.908,2.72
161,Connor Bedard,N,"C,RW",33,CHI,20,CA$1.0,5.4,0.1,-2.3,-2.5,54.8,-106.2,,+ +,79,20.7,29,50,79,220,10,31,0,0,37,53,-12,44,4,250,400,38%,,,,,,,,,,
162,Joel Hofer,N,G,25,STL,25,CA$3.4,0.3,0,-2.3,-0.7,192,30,, ,,,,,,,,,,,,,,,,,,,,26,13,10,3,2,679,72,0.904,2.77
163,Akira Schmid,N,G,26,VGK,25,CA$0.9,0.3,0,-2.4,-2.7,183,20,, ,,,,,,,,,,,,,,,,,,,,24,14,8,3,1,606,67,0.901,2.77
164,Scott Wedgewood,N,G,27,COL,33,CA$1.5,0.3,0,-2.4,-1.6,181.1,17.1,, ,,,,,,,,,,,,,,,,,,,,24,14,8,3,1,623,68,0.902,2.82
165,Kirill Marchenko,N,RW,34,CBJ,25,CA$3.9,5.3,0.1,-2.4,-0.6,103.3,-61.7,,+,79,18.8,31,36,67,217,6,18,0,0,41,58,3,23,4,17,29,37%,,,,,,,,,,
166,Steven Stamkos,N,"C,LW,RW",34,NSH,36,CA$8.0,5.7,0.1,-2.4,-0.3,124.8,-41.2,, ,82,18.5,31,35,66,202,13,26,0,0,47,73,-6,43,4,425,380,53%,,,,,,,,,,
167,Alex Debrincat,N,"LW,RW",35,DET,28,CA$7.9,5.7,0.1,-2.4,-0.3,72.2,-94.8,, ,82,17.9,32,35,67,239,11,24,0,0,38,49,-2,31,4,23,27,46%,,,,,,,,,,
168,Lucas Raymond,N,RW,35,DET,23,CA$8.1,5.3,0.1,-2.4,-0.3,82.7,-85.3,, ,81,19.5,29,48,77,191,7,28,1,1,35,54,-3,28,4,3,8,26%,,,,,,,,,,
169,Karel Vejmelka,N,G,28,UTA,29,CA$4.8,0.2,0,-2.5,-0.5,135.1,-33.9,, ,,,,,,,,,,,,,,,,,,,,60,31,22,7,3,"1,605",168,0.905,2.81
170,Marcus Pettersson,N,D,71,VAN,29,CA$5.5,-0.1,0,-2.5,-0.4,—,N/A,, ,80,21.5,4,25,28,87,0,0,0,0,147,97,2,46,1,0,0,0%,,,,,,,,,,
171,Casey DeSmith,N,G,29,DAL,34,CA$1.0,0.2,0,-2.5,-2.5,168.5,-2.5,, ,,,,,,,,,,,,,,,,,,,,20,11,7,2,1,523,57,0.902,2.83
172,Sam Montembeault,N,G,30,MTL,28,CA$3.2,0.1,0,-2.6,-0.8,109.6,-62.4,, ,,,,,,,,,,,,,,,,,,,,58,30,21,7,3,"1,578",166,0.905,2.85
173,Dylan Strome,N,C,36,WSH,29,CA$5.0,5.6,0.1,-2.6,-0.5,135,-38,, ,82,17.5,27,46,73,158,8,28,0,0,53,28,1,30,4,664,607,52%,,,,,,,,,,
174,Colton Parayko,N,D,72,STL,32,CA$6.5,-0.2,0,-2.6,-0.4,152.7,-21.3,, ,79,21.7,10,19,29,135,0,1,0,2,164,94,1,22,2,0,0,0%,,,,,,,,,,
175,Sean Walker,N,D,73,CAR,31,CA$3.6,-0.2,0,-2.6,-0.7,—,N/A,, ,81,17.1,6,14,20,129,0,1,0,1,101,94,5,43,1,0,0,0%,,,,,,,,,,
176,Dylan Holloway,N,"LW,RW",36,STL,24,CA$2.0,5.6,0.1,-2.6,-1.3,100.8,-75.2,,+,72,17.2,25,34,60,172,6,15,0,0,43,150,4,27,4,33,37,47%,,,,,,,,,,
177,Jeremy Swayman,N,G,31,BOS,26,CA$8.3,0,0,-2.6,-0.3,114.1,-62.9,,+,,,,,,,,,,,,,,,,,,,,55,25,22,8,3,"1,512",154,0.908,2.8
178,Sean Durzi,N,D,74,UTA,27,CA$6.0,-0.2,0,-2.6,-0.4,189.8,11.8,, ,75,19.8,8,23,31,109,1,7,0,0,125,59,0,44,1,0,0,0%,,,,,,,,,,
179,Dmitry Orlov,N,D,75,S.J,34,CA$6.5,-0.3,0,-2.7,-0.4,—,N/A,, ,79,23.6,8,33,41,157,1,10,0,0,88,117,-6,33,1,0,0,0%,,,,,,,,,,
180,Kiefer Sherwood,N,"C,LW",37,VAN,30,CA$1.5,5.5,0.1,-2.7,-1.8,104.8,-75.2,,+,74,15.4,17,21,38,141,1,3,1,2,32,353,1,42,3,24,28,47%,,,,,,,,,,
181,Jalen Chatfield,N,D,76,CAR,29,CA$3.0,-0.3,0,-2.7,-0.9,—,N/A,, ,80,19.5,8,15,23,119,0,0,0,1,87,79,7,42,1,0,0,0%,,,,,,,,,,
182,Cam Talbot,N,G,32,DET,38,CA$2.5,0,0,-2.7,-1.1,187.3,5.3,, ,,,,,,,,,,,,,,,,,,,,38,17,15,5,2,"1,022",107,0.906,2.81
183,Simon Edvinsson,N,D,77,DET,23,CA$0.9,-0.3,0,-2.7,-3,—,N/A,, ,77,21.9,8,23,30,97,0,2,0,1,139,86,-1,46,1,0,0,0%,,,,,,,,,,
184,Matt Roy,N,D,78,WSH,31,CA$5.8,-0.3,0,-2.7,-0.5,—,N/A,, ,80,19.8,5,20,25,111,0,0,0,1,143,126,2,29,1,0,0,0%,,,,,,,,,,
185,Nick Seeler,N,D,79,PHI,32,CA$2.7,-0.3,0,-2.7,-1,—,N/A,, ,79,17.5,3,15,18,93,0,0,0,1,189,126,-2,46,0,0,0,0%,,,,,,,,,,
186,Macklin Celebrini,N,C,39,S.J,19,CA$1.0,5.4,0.1,-2.8,-2.8,46.3,-139.7,,+,77,20,31,45,76,265,10,24,0,0,56,46,-9,36,4,564,607,48%,,,,,,,,,,
187,Bo Horvat,N,C,40,NYI,30,CA$8.5,5.4,0.1,-2.8,-0.3,151.5,-35.5,, ,81,20.3,32,33,65,243,6,13,2,2,44,86,0,24,5,795,615,56%,,,,,,,,,,
188,Charlie Lindgren,N,G,33,WSH,31,CA$3.0,-0.1,0,-2.8,-0.9,185,-3,, ,,,,,,,,,,,,,,,,,,,,32,16,12,4,2,855,91,0.904,2.85
189,Dylan Samberg,N,D,80,WPG,27,CA$5.8,-0.4,0,-2.8,-0.5,—,N/A,, ,76,21.3,5,18,22,110,0,1,0,0,147,85,5,34,1,0,0,0%,,,,,,,,,,
190,Alexander Nikishin,N,D,81,CAR,24,CA$0.9,-0.4,0,-2.8,-3,—,N/A,, ,72,18,7,15,21,125,1,2,0,0,86,100,6,38,1,0,0,0%,,,,,,,,,,
191,Cam Fowler,N,D,82,STL,34,CA$6.5,-0.4,0,-2.8,-0.4,154.6,-36.4,, ,79,22.4,9,36,44,116,4,17,0,0,108,38,0,23,1,0,0,0%,,,,,,,,,,
192,Dante Fabbro,N,D,83,CBJ,27,CA$4.1,-0.4,0,-2.8,-0.7,—,N/A,, ,76,21.2,7,17,24,108,0,0,0,0,152,78,1,45,1,0,0,0%,,,,,,,,,,
193,Ian Cole,N,D,84,UTA,37,CA$2.8,-0.5,0,-2.9,-1,—,N/A,, ,81,18.8,2,13,15,71,0,0,0,0,172,97,-1,60,0,0,0,0%,,,,,,,,,,
194,Juuse Saros,N,G,34,NSH,30,CA$7.7,-0.3,0,-2.9,-0.4,101.8,-92.2,,+,,,,,,,,,,,,,,,,,,,,60,27,24,9,3,"1,686",171,0.908,2.84
195,Bowen Byram,N,D,85,BUF,24,CA$6.3,-0.5,0,-2.9,-0.5,175,-20,, ,77,21.1,9,25,34,91,1,4,0,1,108,81,0,43,1,0,0,0%,,,,,,,,,,
196,Cole Caufield,N,"LW,RW",38,MTL,25,CA$7.9,5.2,0.1,-3,-0.4,57.7,-138.3,,+,78,18,32,33,65,243,9,17,0,0,28,59,3,17,5,5,8,36%,,,,,,,,,,
197,Jake Allen,N,G,35,N.J,35,CA$1.8,-0.3,0,-3,-1.7,—,N/A,, ,,,,,,,,,,,,,,,,,,,,30,16,10,3,2,781,86,0.901,2.85
198,Anders Lee,N,LW,39,NYI,35,CA$7.0,5.2,0.1,-3,-0.4,147.8,-50.2,, ,82,16.5,26,24,50,217,5,9,0,0,45,129,1,44,4,15,17,46%,,,,,,,,,,
199,William Borgen,N,D,86,NYR,29,CA$4.1,-0.6,0,-3,-0.7,—,N/A,, ,82,18.8,4,18,22,91,0,0,1,1,125,144,0,45,1,0,0,0%,,,,,,,,,,
200,Mika Zibanejad,N,"C,RW",39,NYR,32,CA$8.5,4.7,0.1,-3,-0.4,136.8,-63.2,,+,82,18.7,24,43,67,195,9,22,1,5,49,52,1,23,4,550,541,50%,,,,,,,,,,
201,Simon Benoit,N,D,87,TOR,27,CA$1.4,-0.7,0,-3.1,-2.3,—,N/A,, ,78,16.5,2,8,10,58,0,0,0,1,112,188,3,51,0,0,0,0%,,,,,,,,,,
202,Jordan Kyrou,N,RW,40,STL,27,CA$8.1,4.6,0.1,-3.2,-0.4,82.2,-119.8,, ,82,16.6,32,30,62,226,7,17,0,0,34,40,2,23,5,2,6,30%,,,,,,,,,,
203,Eric Comrie,N,G,36,WPG,30,CA$0.8,-0.5,0,-3.2,-3.8,—,N/A,, ,,,,,,,,,,,,,,,,,,,,20,10,7,2,1,515,57,0.901,2.84
204,Alexis Lafrenière,N,"LW,RW",40,NYR,24,CA$7.5,5,0.1,-3.2,-0.4,—,N/A,,+ +,82,17.6,27,35,62,195,6,12,0,0,28,105,2,33,4,16,35,31%,,,,,,,,,,
205,Mikey Anderson,N,D,88,L.A,26,CA$4.1,-0.8,0,-3.2,-0.8,—,N/A,, ,80,22.5,5,19,24,96,0,0,0,0,137,121,3,30,1,0,0,0%,,,,,,,,,,
206,Brock Boeser,N,RW,42,VAN,29,CA$7.3,4.5,0.1,-3.2,-0.4,169.2,-36.8,,+,80,18.1,31,34,64,178,11,22,0,0,35,71,0,22,5,21,32,40%,,,,,,,,,,
207,Alex Lyon,N,G,37,BUF,32,CA$1.5,-0.6,0,-3.2,-2.2,—,N/A,, ,,,,,,,,,,,,,,,,,,,,30,15,11,4,2,795,86,0.902,2.87
208,Gabriel Vilardi,N,"C,RW",43,WPG,26,CA$7.5,4.5,0.1,-3.3,-0.4,127.2,-80.8,, ,73,18.2,29,31,61,151,11,22,0,0,48,31,5,22,5,72,79,48%,,,,,,,,,,
209,Vladislav Gavrikov,N,D,89,NYR,30,CA$7.0,-0.9,0,-3.3,-0.5,—,N/A,, ,80,23,6,22,28,118,0,0,0,1,137,59,4,33,1,0,0,0%,,,,,,,,,,
210,Brandon Carlo,N,D,90,TOR,29,CA$3.5,-0.9,0,-3.3,-0.9,—,N/A,, ,81,19.6,3,13,17,87,0,0,0,0,146,110,4,40,0,0,0,0%,,,,,,,,,,
211,Jaccob Slavin,N,D,91,CAR,31,CA$6.3,-0.9,0,-3.3,-0.5,155.3,-55.7,, ,81,22.5,7,27,33,133,0,0,1,2,140,42,7,15,1,0,0,0%,,,,,,,,,,
212,Ben Chiarot,N,D,92,DET,34,CA$4.8,-0.9,0,-3.3,-0.7,—,N/A,, ,81,20.4,5,14,18,107,0,0,0,0,147,130,-6,53,1,0,0,0%,,,,,,,,,,
