RANK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
427,Eeli Tolvanen,N,"LW,RW",89,SEA,26,CA$3.5,-0.1,0,-8.3,-2.4,—,N/A,, ,80,14.1,19,15,34,131,1,3,0,0,63,198,-5,23,3,5,9,37%,,,,,,,,,,
428,Vladislav Namestnikov,N,"C,LW",90,WPG,33,CA$3.0,-0.1,0,-8.3,-2.8,—,N/A,,-,80,15.1,12,25,37,106,2,7,0,0,48,92,5,32,2,288,416,41%,,,,,,,,,,
429,Shane Pinto,N,C,90,OTT,25,CA$3.8,-0.2,0,-8.3,-2.2,—,N/A,, ,74,17.2,19,20,39,138,2,3,3,5,57,75,2,26,3,457,443,51%,,,,,,,,,,
430,Mackie Samoskevich,N,RW,102,FLA,23,CA$0.8,-0.6,0,-8.3,-10.8,—,N/A,, ,76,11.8,15,17,31,130,4,10,0,0,34,128,4,16,2,0,1,0%,,,,,,,,,,
431,Nick Schmaltz,N,"C,RW",103,UTA,30,CA$5.9,-0.6,0,-8.4,-1.4,181.7,-249.3,, ,80,16.5,18,34,52,153,6,14,0,0,38,22,0,17,3,135,169,45%,,,,,,,,,,
432,Pavel Zacha,N,"C,LW",91,BOS,28,CA$4.8,-0.3,0,-8.4,-1.8,—,N/A,, ,81,18.6,19,35,54,141,4,10,1,1,31,79,-2,23,3,378,349,52%,,,,,,,,,,
433,Jordan Staal,N,C,93,CAR,37,CA$2.9,-0.3,0,-8.5,-2.9,—,N/A,, ,80,14.8,12,20,33,113,0,0,1,2,43,134,6,29,2,758,594,56%,,,,,,,,,,
434,Kent Johnson,N,"C,LW,RW",92,CBJ,23,CA$1.8,-0.3,0,-8.5,-4.7,176.1,-257.9,, ,74,17.2,22,32,54,140,5,15,0,1,33,19,0,21,3,6,28,17%,,,,,,,,,,
435,Jimmy Snuggerud,N,RW,104,STL,21,CA$1.0,-0.8,0,-8.5,-9,—,N/A,, ,72,15.8,17,26,43,130,6,11,0,0,37,63,0,25,3,0,0,0%,,,,,,,,,,
436,Shane Wright,N,C,94,SEA,22,CA$0.9,-0.4,0,-8.6,-9.7,—,N/A,, ,79,15.8,22,26,48,110,7,13,0,0,62,61,-4,24,3,413,519,44%,,,,,,,,,,
437,Sean Couturier,N,C,95,PHI,33,CA$7.8,-0.4,0,-8.6,-1.1,—,N/A,, ,79,16.6,16,30,45,169,3,7,0,1,43,56,-2,34,2,638,525,55%,,,,,,,,,,
438,Yanni Gourde,N,C,97,T.B,34,CA$2.3,-0.5,0,-8.6,-3.7,—,N/A,,+,77,13.5,9,22,31,99,0,1,0,1,41,113,7,41,2,327,341,49%,,,,,,,,,,
439,Urho Vaakanainen,N,D,178,NYR,27,CA$1.6,-6.2,-0.1,-8.6,-5.6,—,N/A,, ,69,16.7,2,14,16,63,0,0,0,0,77,50,1,24,0,0,0,0%,,,,,,,,,,
440,Scott Laughton,N,"C,LW",93,TOR,31,CA$3.0,-0.4,0,-8.6,-2.9,—,N/A,, ,81,13.7,12,18,30,120,0,0,2,4,50,147,3,36,2,293,303,49%,,,,,,,,,,
441,Andrew Mangiapane,N,"LW,RW",94,EDM,29,CA$3.6,-0.5,0,-8.6,-2.4,189,-252,, ,81,13.9,14,19,33,114,1,3,0,0,32,84,8,30,2,5,7,43%,,,,,,,,,,
442,Barrett Hayton,N,C,98,UTA,25,CA$2.7,-0.5,0,-8.7,-3.3,—,N/A,, ,75,16.8,17,23,39,147,4,10,0,0,41,42,0,34,3,520,470,53%,,,,,,,,,,
443,Tyler Bertuzzi,N,"LW,RW",95,CHI,31,CA$5.5,-0.5,0,-8.7,-1.6,—,N/A,, ,79,16.1,21,25,46,140,8,16,0,0,32,69,-7,34,3,14,24,37%,,,,,,,,,,
444,Jordan Martinook,N,LW,96,CAR,33,CA$3.1,-0.6,0,-8.7,-2.9,—,N/A,, ,81,14.7,14,19,33,124,0,0,0,1,46,79,6,33,2,35,38,48%,,,,,,,,,,
445,Parker Wotherspoon,N,D,179,PIT,28,CA$1.0,-6.4,-0.1,-8.8,-8.8,—,N/A,, ,65,18.3,2,11,13,57,0,0,0,0,89,91,-4,27,0,0,0,0%,,,,,,,,,,
446,Mikael Backlund,N,C,101,CGY,37,CA$4.5,-0.7,0,-8.8,-2,—,N/A,, ,81,18.4,17,23,40,196,2,6,1,1,47,56,-3,32,2,742,752,50%,,,,,,,,,,
447,Jean-Gabriel Pageau,N,"C,RW",106,NYI,33,CA$5.0,-1.1,0,-8.8,-1.8,—,N/A,, ,80,16.2,13,25,38,117,2,5,1,4,62,145,-1,17,2,601,442,58%,,,,,,,,,,
448,Gabriel Perreault,N,RW,107,NYR,19,CA$0.9,-1.1,0,-8.8,-9.4,—,N/A,, ,68,14,11,17,28,102,2,5,0,0,29,110,1,46,2,0,0,0%,,,,,,,,,,
449,Wyatt Kaiser,N,D,180,CHI,23,CA$0.9,-6.5,-0.1,-8.9,-9.7,—,N/A,, ,66,18.1,3,10,13,72,0,0,0,0,102,65,-6,26,0,0,0,0%,,,,,,,,,,
450,Jesperi Kotkaniemi,N,C,102,CAR,25,CA$4.8,-0.8,0,-8.9,-1.9,—,N/A,, ,81,13.4,12,18,31,112,1,3,0,0,29,68,7,41,2,354,332,52%,,,,,,,,,,
451,Nic Dowd,N,C,103,WSH,35,CA$3.0,-0.8,0,-9,-3,—,N/A,, ,78,15.1,14,13,27,84,0,0,1,1,76,124,1,38,2,565,580,49%,,,,,,,,,,
452,Tyler Kleven,N,D,181,OTT,24,CA$0.9,-6.7,-0.1,-9.1,-9.9,—,N/A,, ,64,14.4,3,7,10,60,0,0,0,0,75,78,-1,21,0,0,0,0%,,,,,,,,,,
453,Adam Henrique,N,"C,LW",97,EDM,36,CA$3.0,-0.9,0,-9.1,-3,—,N/A,, ,80,14.2,15,17,31,106,2,5,1,2,71,67,6,21,2,489,422,54%,,,,,,,,,,
454,Ville Koivunen,N,RW,112,PIT,22,CA$0.8,-1.4,0,-9.1,-11.3,—,N/A,, ,70,14,11,28,40,117,3,13,0,0,43,63,-5,46,1,0,0,0%,,,,,,,,,,
455,Andrei Kuzmenko,N,"LW,RW",98,L.A,30,CA$4.3,-1,0,-9.2,-2.1,181.4,-273.6,, ,78,15.4,20,28,48,112,6,14,0,0,26,33,2,17,3,1,0,71%,,,,,,,,,,
456,Jaden Schwartz,N,"C,LW",99,SEA,33,CA$5.5,-1,0,-9.2,-1.7,—,N/A,, ,78,17.1,22,23,45,177,6,10,0,0,38,49,-6,27,3,48,45,51%,,,,,,,,,,
457,Filip Chytil,N,C,106,VAN,26,CA$4.4,-1.1,0,-9.2,-2.1,—,N/A,, ,67,16,17,22,40,170,3,9,0,0,22,35,1,26,3,301,388,44%,,,,,,,,,,
458,Trevor Zegras,N,C,107,PHI,25,CA$5.8,-1.1,0,-9.2,-1.6,190,-268,, ,70,16.3,17,28,45,140,3,10,0,0,33,57,-4,35,2,106,168,39%,,,,,,,,,,
459,Mavrik Bourque,N,"C,RW",113,DAL,24,CA$1.0,-1.5,0,-9.3,-9.7,—,N/A,, ,78,14.5,15,20,35,109,3,9,0,0,41,63,5,18,2,195,228,46%,,,,,,,,,,
460,Martin Pospisil,N,"C,RW",114,CGY,26,CA$2.5,-1.6,0,-9.3,-3.7,—,N/A,, ,77,11.2,6,15,21,94,1,2,0,0,24,222,-3,49,1,53,72,42%,,,,,,,,,,
461,Adam Lowry,N,C,109,WPG,33,CA$3.3,-1.1,0,-9.3,-2.9,—,N/A,, ,65,15.4,12,17,29,92,0,0,0,1,50,120,4,33,2,522,514,50%,,,,,,,,,,
462,Teuvo Teravainen,N,"LW,RW",100,CHI,31,CA$5.4,-1.2,0,-9.4,-1.7,—,N/A,, ,80,17.6,20,37,57,135,8,21,1,2,30,33,-6,18,3,67,76,47%,,,,,,,,,,
463,Jonathan Drouin,N,"LW,RW",101,NYI,31,CA$4.0,-1.2,0,-9.4,-2.3,—,N/A,, ,72,17.5,16,36,53,109,4,17,0,0,27,36,-1,23,3,56,63,47%,,,,,,,,,,
464,Shakir Mukhamadullin,N,D,182,S.J,24,CA$1.0,-7,-0.1,-9.4,-9.4,—,N/A,, ,59,18.3,3,12,15,61,0,2,0,0,96,64,-6,23,0,0,0,0%,,,,,,,,,,
465,Sam Carrick,N,C,110,NYR,34,CA$1.0,-1.3,0,-9.4,-9.4,—,N/A,, ,78,11.9,7,11,18,85,0,0,1,2,40,144,1,61,1,365,322,53%,,,,,,,,,,
466,Vasily Podkolzin,N,"LW,RW",102,EDM,24,CA$1.0,-1.3,0,-9.5,-9.5,183,-283,, ,69,13.7,8,14,22,99,0,0,0,0,42,167,6,29,1,14,34,29%,,,,,,,,,,
467,Reilly Smith,N,RW,115,VGK,35,CA$2.0,-1.8,0,-9.5,-4.7,—,N/A,, ,80,14,13,23,36,126,1,4,1,1,35,55,6,20,2,4,6,38%,,,,,,,,,,
468,Johnathan Kovacevic,N,D,183,N.J,28,CA$4.0,-7.1,-0.2,-9.5,-2.4,—,N/A,, ,40,19.6,2,7,10,41,0,0,0,0,54,51,2,27,0,0,0,0%,,,,,,,,,,
469,Egor Zamula,N,D,184,PHI,25,CA$1.7,-7.1,-0.1,-9.5,-5.6,—,N/A,, ,70,16.2,3,13,16,51,0,1,0,0,94,46,-3,21,0,0,0,0%,,,,,,,,,,
470,Viktor Arvidsson,N,"LW,RW",103,BOS,32,CA$4.0,-1.3,0,-9.5,-2.4,—,N/A,, ,70,16.2,19,20,39,179,3,9,0,0,32,41,-3,28,3,20,37,35%,,,,,,,,,,
471,Justin Holl,N,D,185,DET,34,CA$3.4,-7.2,-0.1,-9.5,-2.8,—,N/A,, ,74,14.9,2,9,11,44,0,0,0,0,82,68,-2,25,0,0,0,0%,,,,,,,,,,
472,Isaac Howard,N,LW,104,EDM,21,CA$1.0,-1.5,0,-9.7,-10.2,—,N/A,, ,72,14.5,13,18,31,118,3,6,0,0,30,71,7,20,2,0,0,0%,,,,,,,,,,
473,Brett Howden,N,"C,LW",105,VGK,27,CA$2.5,-1.5,0,-9.7,-3.9,—,N/A,, ,78,12.4,14,13,27,95,0,0,0,1,45,97,4,36,2,200,200,50%,,,,,,,,,,
474,Morgan Frost,N,C,114,CGY,26,CA$4.4,-1.6,0,-9.7,-2.2,—,N/A,, ,80,15.1,15,25,40,140,3,12,0,0,54,70,-4,24,2,469,483,49%,,,,,,,,,,
475,Kirby Dach,N,"C,RW",117,MTL,25,CA$3.4,-2.1,0,-9.8,-2.9,—,N/A,, ,64,15.6,12,16,28,100,2,5,0,1,41,99,-1,38,2,101,156,39%,,,,,,,,,,
476,Nick Foligno,N,"C,LW",106,CHI,38,CA$4.5,-1.6,0,-9.8,-2.2,—,N/A,, ,78,15.1,13,16,29,104,1,2,1,1,37,177,-7,47,2,293,280,51%,,,,,,,,,,
477,Kaapo Kakko,N,RW,119,SEA,25,CA$4.5,-2.1,0,-9.9,-2.2,—,N/A,, ,79,16.4,18,26,44,133,4,8,0,0,30,63,-4,27,2,37,45,45%,,,,,,,,,,
478,Nils Hoglander,N,LW,107,VAN,25,CA$3.0,-1.7,0,-9.9,-3.3,—,N/A,, ,74,13.6,15,16,32,105,1,2,0,0,26,89,3,33,2,0,1,5%,,,,,,,,,,
479,Vladimir Tarasenko,N,"LW,RW",108,MIN,34,CA$4.8,-1.8,0,-10,-2.1,—,N/A,, ,80,14.6,16,25,41,137,2,7,0,0,37,71,1,13,2,1,2,20%,,,,,,,,,,
480,Zachary L'Heureux,N,LW,109,NSH,22,CA$0.9,-1.8,0,-10,-11.6,—,N/A,, ,74,12.7,8,13,21,94,0,1,0,0,33,206,-3,45,1,0,5,0%,,,,,,,,,,
481,Parker Kelly,N,"C,LW",110,COL,26,CA$0.8,-1.8,0,-10,-12.1,—,N/A,, ,79,12.2,7,10,18,92,0,0,1,2,64,155,4,32,1,192,323,37%,,,,,,,,,,
482,Ryan Strome,N,C,117,ANA,32,CA$5.0,-1.8,0,-10,-2,—,N/A,, ,82,15,12,26,38,124,1,6,0,0,31,55,-5,56,2,424,547,44%,,,,,,,,,,
483,Nick Paul,N,"C,LW",111,T.B,31,CA$3.2,-1.9,0,-10.1,-3.2,—,N/A,, ,70,15.3,17,16,32,117,2,3,0,0,31,68,5,19,3,365,330,52%,,,,,,,,,,
484,William Carrier,N,LW,112,CAR,31,CA$2.0,-1.9,0,-10.1,-5,—,N/A,, ,67,11.2,10,9,19,91,0,0,0,0,25,187,5,24,2,6,10,38%,,,,,,,,,,
485,Vladislav Kolyachonok,N,D,186,DAL,24,CA$0.8,-7.7,-0.1,-10.1,-13,—,N/A,, ,55,12.9,3,8,11,37,0,0,0,0,51,54,3,16,0,0,0,0%,,,,,,,,,,
486,Owen Pickering,N,D,187,PIT,22,CA$0.9,-7.7,-0.1,-10.1,-11.4,—,N/A,, ,58,18.1,3,10,13,56,0,0,0,0,74,58,-4,22,0,0,0,0%,,,,,,,,,,
487,Paul Cotter,N,LW,113,N.J,26,CA$0.8,-2,0,-10.2,-13.2,—,N/A,, ,78,11.1,11,9,20,82,0,1,0,0,28,194,1,31,2,30,29,50%,,,,,,,,,,
488,Michael Rasmussen,N,"C,LW",114,DET,26,CA$3.2,-2,0,-10.2,-3.2,—,N/A,, ,78,14,12,15,27,102,1,3,0,1,58,126,-2,36,2,110,119,48%,,,,,,,,,,
489,Alexei Toropchenko,N,RW,124,STL,26,CA$1.7,-2.5,0,-10.2,-6,—,N/A,, ,80,12.1,9,11,20,96,0,0,1,1,50,190,0,24,1,2,7,24%,,,,,,,,,,
490,Charlie Coyle,N,"C,RW",125,CBJ,34,CA$5.3,-2.5,0,-10.3,-2,—,N/A,, ,82,14.7,15,20,35,102,0,1,0,2,55,102,-2,26,2,391,382,51%,,,,,,,,,,
491,Pius Suter,N,"C,LW",115,STL,29,CA$4.1,-2.1,0,-10.3,-2.5,—,N/A,, ,79,16.1,20,18,37,127,0,1,1,2,40,62,1,19,3,331,395,46%,,,,,,,,,,
492,Connor Zary,N,"C,LW,RW",116,CGY,24,CA$0.0,-2.1,0,-10.3,N/A,—,N/A,, ,72,16.5,18,22,40,141,2,8,0,0,36,43,-3,25,3,120,174,41%,,,,,,,,,,
493,Taylor Hall,N,LW,117,CAR,34,CA$3.2,-2.1,0,-10.3,-3.3,—,N/A,, ,69,14.5,14,18,32,118,3,6,0,0,33,42,4,28,2,33,37,47%,,,,,,,,,,
494,Jake Bean,N,D,188,CGY,27,CA$1.8,-8,-0.1,-10.3,-5.9,—,N/A,, ,71,15.2,3,9,12,73,0,0,0,0,69,40,-4,21,0,0,0,0%,,,,,,,,,,
495,Yakov Trenin,N,C,123,MIN,29,CA$3.5,-2.2,0,-10.3,-3,—,N/A,, ,80,12.2,9,8,17,94,0,0,1,1,34,200,0,33,1,30,39,43%,,,,,,,,,,
496,Alex Iafallo,N,"C,LW,RW",118,WPG,32,CA$3.7,-2.2,0,-10.4,-2.8,—,N/A,, ,80,14.5,12,17,29,114,3,4,0,0,62,59,5,17,2,11,14,43%,,,,,,,,,,
497,Corey Perry,N,RW,128,L.A,40,CA$2.0,-2.7,0,-10.4,-5.2,—,N/A,, ,70,11.9,14,11,25,90,3,6,0,0,24,49,2,44,2,5,16,24%,,,,,,,,,,
498,David Perron,N,"LW,RW",119,OTT,37,CA$4.0,-2.2,0,-10.4,-2.6,—,N/A,, ,74,12.3,12,17,29,108,3,8,0,0,21,102,1,28,2,8,15,33%,,,,,,,,,,
499,Jordan Eberle,N,RW,129,SEA,35,CA$4.8,-2.7,0,-10.4,-2.2,—,N/A,, ,74,15.7,16,27,43,133,3,10,0,0,32,34,-3,24,2,19,27,42%,,,,,,,,,,
500,Simon Holmstrom,N,RW,130,NYI,24,CA$3.6,-2.8,0,-10.5,-2.9,—,N/A,, ,77,17,20,22,42,105,2,6,3,5,54,34,-2,16,3,2,6,21%,,,,,,,,,,
501,Gustav Nyquist,N,"LW,RW",120,WPG,36,CA$3.3,-2.3,0,-10.5,-3.2,—,N/A,, ,78,15.8,15,26,41,112,2,7,1,1,32,45,3,17,3,12,19,39%,,,,,,,,,,
502,Rutger McGroarty,N,RW,132,PIT,21,CA$1.0,-2.8,0,-10.5,-11.1,—,N/A,, ,72,13,11,18,29,108,2,5,0,0,30,110,-5,44,1,0,0,0%,,,,,,,,,,
503,Matthew Savoie,N,"C,RW",133,EDM,21,CA$0.9,-2.8,0,-10.6,-11.9,—,N/A,, ,68,13.5,9,14,22,93,1,3,0,0,28,83,7,29,1,33,50,40%,,,,,,,,,,
504,Cole Sillinger,N,"C,RW",134,CBJ,22,CA$2.3,-2.9,0,-10.6,-4.7,—,N/A,, ,77,15.1,12,20,31,133,2,3,1,1,47,90,-4,32,2,342,403,46%,,,,,,,,,,
505,Jeff Skinner,N,LW,121,S.J,33,CA$3.0,-2.4,0,-10.6,-3.5,—,N/A,, ,79,14.3,21,21,42,176,3,7,0,0,25,51,-6,23,3,47,54,47%,,,,,,,,,,
506,Matias MacCelli,N,LW,122,TOR,25,CA$3.4,-2.5,0,-10.6,-3.1,165,-341,, ,75,15.5,15,28,43,128,1,7,0,0,21,25,4,17,2,5,11,32%,,,,,,,,,,
507,Alex Killorn,N,"C,LW,RW",123,ANA,36,CA$6.2,-2.5,0,-10.6,-1.7,—,N/A,, ,79,15.6,18,19,37,123,1,2,1,2,27,73,-3,35,3,8,11,41%,,,,,,,,,,
508,Michael McCarron,N,C,126,NSH,31,CA$0.9,-2.5,0,-10.7,-11.9,—,N/A,, ,74,12.9,8,9,17,82,0,0,0,0,55,138,-5,61,1,442,370,54%,,,,,,,,,,
509,Erik Haula,N,"C,LW",124,NSH,35,CA$3.2,-2.5,0,-10.7,-3.4,—,N/A,, ,79,14.5,13,15,27,124,1,2,1,1,42,101,-4,41,2,442,379,54%,,,,,,,,,,
510,Michael Eyssimont,N,"C,LW",125,BOS,29,CA$1.5,-2.6,0,-10.7,-7.4,—,N/A,, ,78,10.6,8,10,18,133,0,0,0,0,27,116,-2,53,1,8,12,39%,,,,,,,,,,
511,Brandon Tanev,N,"LW,RW",126,UTA,34,CA$2.5,-2.6,0,-10.8,-4.3,—,N/A,, ,79,12.3,9,12,21,92,0,0,0,0,79,152,-2,28,1,6,22,21%,,,,,,,,,,
512,Evgeny Dadonov,N,RW,136,N.J,37,CA$1.0,-3.1,0,-10.8,-10.8,—,N/A,, ,77,13.1,16,19,34,110,2,5,0,0,34,50,3,15,2,0,2,7%,,,,,,,,,,
513,Cole Smith,N,LW,127,NSH,30,CA$1.0,-2.6,0,-10.8,-10.8,—,N/A,, ,79,13.4,7,12,18,84,0,0,0,2,34,185,-5,53,1,5,11,33%,,,,,,,,,,
514,Patrik Laine,N,"LW,RW",128,MTL,27,CA$8.7,-2.7,0,-10.8,-1.2,172.2,-341.8,, ,65,14,17,17,34,122,7,10,0,0,36,44,0,19,3,21,31,40%,,,,,,,,,,
515,Ryan McLeod,N,C,130,BUF,26,CA$5.0,-2.8,0,-11,-2.2,—,N/A,, ,79,16.6,18,26,44,109,0,1,2,4,37,40,1,20,3,568,545,51%,,,,,,,,,,
516,Joel Farabee,N,"LW,RW",129,CGY,26,CA$5.0,-2.8,0,-11,-2.2,—,N/A,, ,82,14.1,14,18,32,140,1,3,0,0,48,83,-4,30,2,18,31,37%,,,,,,,,,,
517,Isaiah George,N,D,189,NYI,22,CA$0.8,-8.6,-0.1,-11,-13.1,—,N/A,, ,62,14.1,2,7,9,47,0,0,0,0,61,54,-2,17,0,0,0,0%,,,,,,,,,,
518,Nicholas Robertson,N,RW,138,TOR,24,CA$1.8,-3.3,0,-11,-6,—,N/A,, ,69,11.8,15,12,27,116,1,2,0,0,34,76,3,15,2,3,5,39%,,,,,,,,,,
519,Alex Newhook,N,C,133,MTL,25,CA$2.9,-2.9,0,-11.1,-3.8,—,N/A,, ,78,14.9,16,16,31,112,1,4,0,0,34,75,-1,25,2,232,301,44%,,,,,,,,,,
520,Chandler Stephenson,N,C,134,SEA,31,CA$6.3,-2.9,0,-11.1,-1.8,—,N/A,, ,80,18.8,15,35,51,90,3,14,2,3,48,43,-7,23,2,732,637,53%,,,,,,,,,,
521,Jake Christiansen,N,D,190,CBJ,26,CA$1.0,-8.7,-0.1,-11.1,-11.4,—,N/A,, ,64,12.3,1,7,8,51,0,0,0,0,60,56,-1,14,0,0,0,0%,,,,,,,,,,
522,Bobby Brink,N,RW,139,PHI,24,CA$1.5,-3.5,0,-11.2,-7.5,—,N/A,, ,76,15.3,13,24,37,105,2,5,0,0,31,86,-3,22,2,20,31,40%,,,,,,,,,,
523,Kevin Korchinski,N,D,191,CHI,21,CA$0.9,-8.8,-0.1,-11.2,-12.2,—,N/A,, ,66,17.5,4,6,10,67,0,1,0,0,68,41,-7,22,1,0,0,0%,,,,,,,,,,
524,Anthony Mantha,N,RW,140,PIT,31,CA$2.5,-3.5,-0.1,-11.2,-4.5,—,N/A,, ,62,15.4,17,18,35,105,3,6,0,0,31,61,-3,28,2,9,15,37%,,,,,,,,,,
525,Casey Mittelstadt,N,C,136,BOS,27,CA$5.8,-3.1,0,-11.2,-2,—,N/A,, ,82,16.7,16,30,46,112,3,10,0,0,31,35,-5,25,2,444,530,46%,,,,,,,,,,
526,Yegor Sharangovich,N,"C,LW,RW",130,CGY,27,CA$5.3,-3.1,0,-11.2,-2.1,—,N/A,, ,80,16.2,21,21,42,145,5,11,2,3,37,27,-6,15,3,122,178,41%,,,,,,,,,,
527,Michael Amadio,N,RW,141,OTT,29,CA$2.6,-3.6,0,-11.3,-4.3,—,N/A,, ,78,12.9,12,15,27,95,1,1,0,0,41,91,2,19,2,50,48,51%,,,,,,,,,,
528,Jordan Greenway,N,LW,131,BUF,29,CA$4.0,-3.1,0,-11.3,-2.8,—,N/A,, ,69,13.4,7,10,18,78,0,0,0,1,51,137,0,40,1,12,38,23%,,,,,,,,,,
529,Jack Quinn,N,RW,142,BUF,24,CA$3.4,-3.6,0,-11.3,-3.3,—,N/A,, ,72,13.9,15,21,35,113,2,7,0,0,25,51,0,19,2,3,9,23%,,,,,,,,,,
530,Anthony Beauvillier,N,LW,132,WSH,28,CA$2.8,-3.2,0,-11.4,-4.2,—,N/A,, ,79,12.8,12,13,24,132,0,0,0,0,36,112,1,17,2,12,17,40%,,,,,,,,,,
531,Nick Leddy,N,D,192,S.J,35,CA$4.0,-9,-0.1,-11.4,-2.9,—,N/A,, ,73,15.8,2,14,16,52,0,0,0,0,74,42,-6,14,0,0,0,0%,,,,,,,,,,
